Recipe Name,All Ingredients,Cuisine Type,Cooking Time (mins),Difficulty,Calories,Vegetarian / Non-Vegetarian,Short Description
Vegetable Biryani Special Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",North Indian,58,Hard,537,Vegetarian,A delicious Indian dish made with flavorful masala.
Rasgulla Delight,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,77,Hard,358,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Dal Makhani Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,31,Easy,571,Vegetarian,A delicious Indian dish made with flavorful masala.
Fish Curry Delight Delight Delight,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,62,Hard,179,Vegetarian,A delicious Indian dish made with rich gravy.
Rasgulla Delight Delight,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",North Indian,67,Hard,436,Vegetarian,A delicious Indian dish made with rich gravy.
Chicken Biryani Royal Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",South Indian,89,Medium,231,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Paneer Butter Masala Classic,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",North Indian,50,Medium,255,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Bhindi Masala Classic,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,18,Medium,430,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Chicken Biryani Royal Classic Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",West Indian,67,Medium,630,Vegetarian,A delicious Indian dish made with fresh vegetables.
Methi Thepla Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,41,Easy,692,Vegetarian,A delicious Indian dish made with authentic taste.
Matar Paneer Classic Classic,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,27,Medium,666,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Matar Paneer Royal,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",East Indian,44,Hard,700,Vegetarian,A delicious Indian dish made with flavorful masala.
Kheer Royal,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,56,Hard,250,Vegetarian,A delicious Indian dish made with aromatic spices.
Fish Curry Delight Royal,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",South Indian,57,Easy,233,Vegetarian,A delicious Indian dish made with aromatic spices.
Dhokla Classic,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,76,Medium,429,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Chicken Biryani Royal Fusion,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",South Indian,19,Medium,407,Vegetarian,A delicious Indian dish made with rich gravy.
Matar Paneer Classic Classic Fusion,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",South Indian,87,Medium,513,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Rasgulla Delight Fusion,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",South Indian,54,Easy,671,Vegetarian,A delicious Indian dish made with rich gravy.
Fish Curry Delight Royal Fusion,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,43,Medium,511,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Khichdi Delight Classic,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",West Indian,69,Easy,570,Vegetarian,A delicious Indian dish made with authentic taste.
Fish Curry Delight Royal Fusion Royal,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",West Indian,84,Medium,684,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Idli Sambhar Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,26,Easy,341,Vegetarian,A delicious Indian dish made with authentic taste.
Vegetable Korma Delight,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,52,Medium,355,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Rajma Chawal Classic,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",West Indian,70,Hard,435,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Methi Thepla Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",South Indian,74,Hard,479,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Dum Aloo Classic,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",South Indian,60,Easy,153,Vegetarian,A delicious Indian dish made with fresh vegetables.
Paneer Butter Masala Delight,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",East Indian,35,Easy,669,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Pani Puri Special,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,27,Hard,286,Vegetarian,A delicious Indian dish made with flavorful masala.
Vada Pav Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",East Indian,54,Hard,686,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Dhokla Classic Royal,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",East Indian,35,Medium,578,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Bhindi Masala Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,88,Easy,550,Vegetarian,A delicious Indian dish made with authentic taste.
Matar Paneer Classic Classic Fusion,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",North Indian,88,Medium,397,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Vegetable Biryani Delight Royal,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,34,Medium,334,Vegetarian,A delicious Indian dish made with authentic taste.
Egg Curry Special,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",West Indian,81,Easy,177,Vegetarian,A delicious Indian dish made with fresh vegetables.
Dum Aloo Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,50,Hard,368,Vegetarian,A delicious Indian dish made with rich gravy.
Litti Chokha Fusion,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",East Indian,78,Easy,330,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Upma Classic Fusion,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",South Indian,42,Easy,273,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Poori Bhaji Fusion,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",West Indian,59,Medium,659,Vegetarian,A delicious Indian dish made with flavorful masala.
Dal Makhani Fusion,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,32,Easy,696,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Rajma Chawal Classic Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",North Indian,31,Hard,476,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Aloo Paratha Fusion,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",South Indian,67,Easy,584,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Khichdi Delight Delight,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,43,Easy,673,Vegetarian,A delicious Indian dish made with aromatic spices.
Dum Aloo Royal Fusion,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",South Indian,53,Easy,652,Vegetarian,A delicious Indian dish made with aromatic spices.
Litti Chokha Fusion Special,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",East Indian,45,Hard,420,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Egg Curry Royal,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",East Indian,31,Hard,455,Vegetarian,A delicious Indian dish made with rich gravy.
Egg Curry Royal Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",North Indian,61,Medium,303,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Sambar Rice Royal,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,70,Easy,351,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Rajma Chawal Royal,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,55,Hard,500,Vegetarian,A delicious Indian dish made with flavorful masala.
Aloo Paratha Fusion Royal,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",East Indian,48,Easy,444,Vegetarian,A delicious Indian dish made with rich gravy.
Appam Delight,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",West Indian,57,Easy,249,Vegetarian,A delicious Indian dish made with authentic taste.
Tandoori Chicken Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",East Indian,53,Medium,256,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Dum Aloo Royal Fusion Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,35,Hard,167,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Bhindi Masala Royal Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,79,Easy,484,Vegetarian,A delicious Indian dish made with aromatic spices.
Tandoori Chicken Special,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",North Indian,35,Hard,152,Non-Vegetarian,A delicious Indian dish made with flavorful masala.
Khichdi Delight Classic,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,22,Easy,388,Vegetarian,A delicious Indian dish made with rich gravy.
Sambar Rice Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",East Indian,59,Easy,361,Vegetarian,A delicious Indian dish made with aromatic spices.
Khichdi Delight Classic Fusion,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",North Indian,19,Hard,580,Vegetarian,A delicious Indian dish made with authentic taste.
Dhokla Special,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",West Indian,32,Easy,212,Vegetarian,A delicious Indian dish made with flavorful masala.
Poori Bhaji Fusion Delight,"rice, chicken, yogurt, saffron, ghee, fried onions, coriander, mint, spices, salt",South Indian,32,Easy,210,Vegetarian,A delicious Indian dish made with fresh vegetables.
Poha Fusion,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",North Indian,42,Hard,540,Vegetarian,A delicious Indian dish made with aromatic spices.
Bhindi Masala Royal Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",East Indian,22,Hard,658,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Rajma Chawal Royal Special,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",West Indian,69,Medium,525,Vegetarian,A delicious Indian dish made with fresh vegetables.
Paneer Butter Masala Classic Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,50,Hard,173,Vegetarian,A delicious Indian dish made with rich gravy.
Bhindi Masala Royal Classic,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",West Indian,16,Hard,250,Vegetarian,A delicious Indian dish made with rich gravy.
Bhindi Masala Royal Classic,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",West Indian,59,Hard,439,Vegetarian,A delicious Indian dish made with aromatic spices.
Tandoori Chicken Classic,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",East Indian,47,Easy,631,Non-Vegetarian,A delicious Indian dish made with aromatic spices.
Masala Dosa Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",North Indian,86,Easy,457,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Tandoori Chicken Special,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",South Indian,34,Hard,356,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Dal Makhani Fusion Delight,"basmati rice, mixed vegetables, cumin seeds, garam masala, turmeric, ghee, salt",North Indian,46,Medium,390,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Paneer Butter Masala Classic Classic,"chicken, yogurt, lemon juice, chili powder, ginger garlic paste, garam masala, butter",South Indian,83,Hard,427,Non-Vegetarian,A delicious Indian dish made with fresh vegetables.
Rasgulla Delight Classic,"paneer, cream, butter, tomato puree, garam masala, kasuri methi, red chili powder, onion, garlic",West Indian,66,Easy,669,Non-Vegetarian,A delicious Indian dish made with rich gravy.
Chicken Tikka Delight,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,28,Easy,673,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Rajma Chawal Classic Fusion,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",South Indian,69,Medium,233,Vegetarian,A delicious Indian dish made with flavorful masala.
Tandoori Chicken Classic Royal,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",North Indian,57,Hard,243,Vegetarian,A delicious Indian dish made with flavorful masala.
Pesarattu Delight,"chickpeas, onion, tomato, cumin, ginger, garlic, garam masala, chili powder, coriander leaves",East Indian,37,Hard,612,Vegetarian,A delicious Indian dish made with aromatic spices.
Gulab Jamun Royal,"lentils, kidney beans, cream, butter, ginger, garlic, tomato puree, garam masala, chili powder",North Indian,17,Hard,396,Vegetarian,A delicious Indian dish made with flavorful masala.
Aloo Paratha Fusion Royal Royal,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",North Indian,65,Hard,512,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Bhindi Masala Royal Delight,"potato, cauliflower, mustard seeds, cumin, turmeric, green chili, coriander, oil, salt",North Indian,38,Easy,264,Non-Vegetarian,A delicious Indian dish made with authentic taste.
Bhindi Masala Royal Delight Classic,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",West Indian,71,Medium,555,Vegetarian,A delicious Indian dish made with fresh vegetables.
Dhokla Fusion,"semolina, mustard seeds, curry leaves, green chili, onion, ghee, salt, cashews",East Indian,68,Medium,572,Vegetarian,A delicious Indian dish made with fresh vegetables.
Samosa Classic,"onion, tomato, garlic, ginger, green chili, cumin seeds, coriander powder, turmeric, salt, oil",West Indian,60,Medium,485,Vegetarian,A delicious Indian dish made with flavorful masala.
Khichdi Delight Royal,"spinach, paneer, cream, garlic, onion, green chili, cumin seeds, salt, oil",North Indian,70,Medium,437,Vegetarian,A delicious Indian dish made with aromatic spices.
